qml_fajl	felirat	kategoria	indok	hivatalos_kulcs	hivatalos_en
Main.qml	Background work is still running (export, web export or 	segedszoveg	A kilépési figyelmeztetés az eredetiben csak a FELTÖLTÉSEKRE szól (CUploadManagerThread::message, „a Picasa legközelebbi indításakor újraindulnak”); export/webexport/arcfelismerés közbeni kilépésre nincs eredeti üzenet, ez a helyzet a miénk.	CUploadManagerThread::message	Uploads are in progress. Would you like to exit now? (Uploads will resume next time you run Picasa.)
Main.qml	Change Location	segedszoveg	A helyszin-modositas megerosito dialogus CIME; nincs talalhato eredeti authoralt cim-sztring (a GeoPanel figyelmezteto uzenetnek nincs kulon cime a korpuszban).		
Main.qml	Clear Sample	segedszoveg	A hasonlosag-minta torles gombjanak felirata; az eredetiben a clearsim vezerlo ikon-csak (nincs authoralt felirat-sztring).		
Main.qml	Do you want to stop the operation running in the background?	elteres	Ugyanaz a helyzet (háttérművelet megszakításának megerősítése), más fogalmazás. Hivatalos magyar: „Megszakítja ezt a műveletet?” — nálunk: „Leállítja a háttérben futó műveletet?”.	IBackgroundNotify::cancel	Do you want to cancel this operation?
Main.qml	Duplicate Files	segedszoveg	A masodpeldany-kereses mod-felirata a also savon; az eredeti searchoptions/dupesearch ikon-csak, nincs authoralt felirat.		
Main.qml	Exit PicasaPy	segedszoveg	A kilepes-megerosito dialogus CIME; a Win32 MessageBox eredetiben alapertelmezetten az app nevet mutatta cimkent (nem authoralt sztringforras), nalunk a PicasaPy nev sajat dialogus-cim.		
Main.qml	Looking for duplicate files...	segedszoveg	Allapotszoveg a masodpeldany-kereses folyamataban; nincs talalhato eredeti megfelelo.		
Main.qml	New person's name:	segedszoveg	Uj szemely nevet kero mezo felirata; nincs talalhato eredeti megfelelo prompt-szoveg egyik korpuszban sem.		
Main.qml	No pictures have that tag.	segedszoveg	Hibauzenet: nincs talalat a cimkere - a helyzet (ures cimke-kereses eredmenye) az eredetiben sem generalna kiirt szoveget, nem talalhato megfelelo a korpuszban.		
Main.qml	Picasa had a problem loading this file(s). Would you 	elteres	CSAK-FORDÍTÁS: az angol forrás tartalmilag azonos (csak tördelés/záró kérdés különbözik), de a magyar fordításunk eltér. Az eredeti a két mondat közé a hibás fájlok listáját is beszúrja. Hivatalos magyar: „A Picasa problémába ütközött a fájl(ok) betöltése során [fájllista] El szeretné rejteni a lemezen található fájlokat? (GetBadImages + GetBadImages2)” — nálunk: „A Picasa nem tudta betölteni ezt/ezeket a fájlt/fájlokat. Szeretné elrejteni a fájlokat a lemezen?”.	CThumbUI::GetBadImages	Picasa had a problem loading this file(s)\n
Main.qml	Red eye fixes have been applied. If you	elteres	Ugyanaz a helyzet, de a szöveg tartalmilag rövidebb (nincs képnév, nincs „végleg eltávolítja?” kérdés). Hivatalos magyar: „A(z) %s képen vörösszemjavítások történtek.\nHa eltávolít minden szerkesztést, a vörösszemjavításokat később nem lehet újra alkalmazni. \nBiztos, hogy végleg eltávolítja a javításokat?” — nálunk: „A képen vörösszem-javítás van. Ha eltávolítja az összes szerkesztést, a vörösszem-javítás nem állítható vissza.”.	IDS_CONFIRM_REDEYE_REVERT	Red eye fixes have been applied to %s.\r\nIf you remove all edits, your red eye fixes cannot be recovered with redo. \r\nAre you sure you want to remove the fixes forever?
Main.qml	Stop the background operation	elteres	Ugyanannak a megerősítő ablaknak a címe, más fogalmazás. Hivatalos magyar: „Kilép?” — nálunk: „A háttérművelet leállítása”.	IBackgroundNotify::canceltitle	Want to Cancel?
Main.qml	The password does not match. The hidden folders stay hidden.	segedszoveg	Lasd elozo sor indoklasat - ugyanaz a dialogus uzenete, mas helyzet mint a talalt CThumbUI::PassVerifyWrong.		
Main.qml	The search results could not be saved as an album.	segedszoveg	Hibauzenet a kereses-mentes sikertelensegerol; nincs talalhato eredeti megfelelo.		
Main.qml	There are no files on the clipboard to paste.	segedszoveg	Hibauzenet: ures vagolap beillesztesnel; nincs talalhato eredeti megfelelo.		
Main.qml	This folder is currently unavailable (for example a disconnected drive or network share). Its photos stay in the database and thumbnails come from the cache, but the original files cannot be opened or edited right now.	segedszoveg	Sajat UX-kiegeszites: halozati/kulso meghajtos mappa ideiglenes elerhetetlensegenek magyarazata; nincs talalhato eredeti megfelelo egyik korpuszban sem.		
